subspace,n,radius,ratio1,ratio2,fd_err,h,triple
sym,64,0.1,1.0009517796677176,0.08923182262380426,6.758293677391538e-12,,
sym,64,0.1,1.0005274035784149,0.08766688405142627,6.65515992756907e-12,,
sym,64,0.1,1.0006750963068525,0.0894984209528663,6.911591458631848e-12,,
sym,64,0.1,1.0001746632853685,0.0881569623672102,7.021888160932335e-12,,
sym,64,1.0,1.012217958896228,0.09024948087307852,7.348349699215779e-12,,
sym,64,1.0,1.0130118977434448,0.08951407186931645,7.260955419244266e-12,,
sym,64,1.0,1.0174128528949142,0.08906405961058121,7.456669743104137e-12,,
sym,64,1.0,1.010677736179753,0.08873290578971132,7.663184109677325e-12,,
sym,64,1.0,1.0113045055184409,0.08848821824707315,7.283045288050303e-12,,
sym,64,3.0,1.0646148368891164,0.09544057786299191,7.572044553479794e-12,,
sym,64,3.0,1.0752757026130961,0.09576604853964682,7.871847925320078e-12,,
sym,64,3.0,1.0718025266665583,0.09055249766516146,7.349814362848434e-12,,
sym,64,3.0,1.101945838746343,0.09451744181090674,8.022068235849053e-12,,
sym,64,3.0,1.0926230194497721,0.09789535635786155,8.182497644875532e-12,,
sym,64,10.0,2.3736028794414357,0.17045979316979254,2.5741324660336152e-11,,
sym,64,10.0,2.3657297994370743,0.168846446463433,2.2962331722579594e-11,,
sym,64,10.0,2.1055922012082693,0.15192532815257623,2.358237788190957e-11,,
sym,64,10.0,2.1094185754487556,0.15689695873182047,1.9251868222727395e-11,,
sym,64,10.0,2.290382372736506,0.17860638134069964,2.43040313304669e-11,,
sym,128,0.1,1.0000506195368393,,,,
sym,128,0.1,1.0000437035928418,,,,
sym,128,0.1,0.9998523112609232,,,,
sym,128,0.1,1.0000838763679736,,,,
sym,128,0.1,1.0000283921374764,,,,
sym,128,1.0,1.004796973505103,,,,
sym,128,1.0,1.0061252794477573,,,,
sym,128,1.0,1.0056708725496695,,,,
sym,128,1.0,1.0022055105990098,,,,
sym,128,1.0,1.0029052871439463,,,,
sym,128,3.0,1.0367985880326356,,,,
sym,128,3.0,1.036062395106797,,,,
sym,128,3.0,1.0460997223926827,,,,
sym,128,3.0,1.0427638879507246,,,,
sym,128,3.0,1.0464693723643423,,,,
sym,128,10.0,1.516791179951859,,,,
sym,128,10.0,1.4763683244080974,,,,
sym,128,10.0,1.514915231966368,,,,
sym,128,10.0,1.523867262450852,,,,
sym,128,10.0,1.5482428219667543,,,,
sym,256,0.1,0.9999624823738649,,,,
sym,256,0.1,1.0001091545842995,,,,
sym,256,0.1,0.9999980052301759,,,,
sym,256,0.1,0.9999613940333699,,,,
sym,256,0.1,1.0000288046523245,,,,
sym,256,1.0,1.0014276210607405,,,,
sym,256,1.0,1.0028749178540408,,,,
sym,256,1.0,1.0018496194028566,,,,
sym,256,1.0,1.0026222866020638,,,,
sym,256,1.0,1.0017623599040661,,,,
sym,256,3.0,1.0219095475456468,,,,
sym,256,3.0,1.0251251147195217,,,,
sym,256,3.0,1.0205451575754978,,,,
sym,256,3.0,1.0184517948694762,,,,
sym,256,3.0,1.0206916577724778,,,,
sym,256,10.0,1.2456045952063945,,,,
sym,256,10.0,1.23914061159193,,,,
sym,256,10.0,1.2499367676891853,,,,
sym,256,10.0,1.2402331571687082,,,,
sym,256,10.0,1.2376756271334495,,,,
gl,2,0.1,1.0657012291378192,0.6550786073288936,3.898272941938906e-10,,
gl,2,0.1,0.9482263697806265,0.4200949863002415,1.8122860642847983e-10,,
gl,2,0.1,0.9703012449400137,0.20243480791349996,1.263025085062206e-10,,
gl,2,0.1,1.0104769920599448,0.7025557216660987,6.027029138546147e-10,,
gl,2,0.1,0.9519214104551401,0.5261180287343531,3.0260973759772924e-10,,
gl,2,1.0,1.2361660228131561,1.0987265557619625,9.774581014876083e-10,,
gl,2,1.0,0.8586131458596148,0.44266470152431475,2.7648538013250124e-10,,
gl,2,1.0,1.3439657421860924,0.8292667560245389,4.6479684492968003e-10,,
gl,2,1.0,1.611323234249334,0.9524780276516508,4.718777504378622e-10,,
gl,2,1.0,1.4819380233900876,0.9338903683280548,4.3133960589029664e-10,,
gl,2,3.0,5.394672328620844,0.8004885578266427,1.8961426199158126e-10,,
gl,2,3.0,0.7630005717296667,0.6913534989198072,7.371053316485901e-10,,
gl,2,3.0,3.757819453596467,1.8420394887274372,8.609434170182021e-10,,
gl,2,3.0,7.534604259628907,2.125635696295328,1.0180133707825902e-09,,
gl,2,3.0,1.065158481110103,1.065735413712222,5.208355766048159e-10,,
gl,2,10.0,20.164393747506505,17.36544995268834,1.7615429251875187e-08,,
gl,2,10.0,581.9979149139649,304.7188769712503,1.1474999000890356e-07,,
gl,2,10.0,0.00520620167927234,0.0015894598417719782,4.449563602425481e-13,,
gl,2,10.0,107.38280942269176,80.5829128354353,8.165610448915873e-08,,
gl,2,10.0,650.5474381511228,482.8609705299739,3.663509285278913e-07,,
gl,4,0.1,1.008996155391565,0.33256883049295527,1.4780509414564156e-10,,
