kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,0.5,4.0,1000,5.886520987413134e-08,0.44482815081109356,7556724.111954214,,,,,
rate,quadratic,0.5,4.0,10000,1.5316441246016551e-30,0.04448281508110936,2.90425265024787e+28,,,,,
rate,quadratic,0.5,4.0,20000,1.5316441246016551e-30,0.02224140754055468,1.452126325123935e+28,,,,,
rate,quadratic,0.5,5.0,10,1.3053667255044643,34.24384415463094,26.23312168570657,,,,,
rate,quadratic,0.5,5.0,100,0.0059906087685757505,3.4243844154630945,571.6254470540615,,,,,
rate,quadratic,0.5,5.0,1000,5.381430221668275e-08,0.3424384415463095,6363335.162602025,,,,,
rate,quadratic,0.5,5.0,10000,1.6426017635226648e-30,0.03424384415463094,2.084731973085967e+28,,,,,
rate,quadratic,0.5,5.0,20000,1.6426017635226648e-30,0.01712192207731547,1.0423659865429836e+28,,,,,
rate,quadratic,0.5,6.0,10,1.3435735180102317,28.443245115552447,21.169846483484978,,,,,
rate,quadratic,0.5,6.0,100,0.004407812630626343,2.8443245115552447,645.2916105807951,,,,,
rate,quadratic,0.5,6.0,1000,4.8318627617211357e-08,0.28443245115552446,5886600.368885645,,,,,
rate,quadratic,0.5,6.0,10000,1.3425539152492858e-30,0.02844324511555245,2.1185923926393e+28,,,,,
rate,quadratic,0.5,6.0,20000,1.3425539152492858e-30,0.014221622557776224,1.05929619631965e+28,,,,,
rate,quadratic,0.5,7.0,10,1.1366093134940567,31.586685633425336,27.79027521455419,,,,,
rate,quadratic,0.5,7.0,100,0.009854407558124839,3.1586685633425335,320.5335830400327,,,,,
rate,quadratic,0.5,7.0,1000,1.0178527169289627e-07,0.3158668563342533,3103266.8192631854,,,,,
rate,quadratic,0.5,7.0,10000,1.5885192432718407e-30,0.031586685633425336,1.988435819535109e+28,,,,,
rate,quadratic,0.5,7.0,20000,1.5885192432718407e-30,0.015793342816712668,9.942179097675544e+27,,,,,
rate,quadratic,1.0,0.0,10,0.16627858228942152,17.81572173728612,107.14381546912874,,,,,
rate,quadratic,1.0,0.0,100,0.0013228777715949703,1.7815721737286119,1346.7398213068482,,,,,
rate,quadratic,1.0,0.0,1000,1.507157348203191e-13,0.1781572173728612,1182074436920.985,,,,,
rate,quadratic,1.0,0.0,10000,1.7647555629572904e-31,0.01781572173728612,1.0095291445026761e+29,,,,,
rate,quadratic,1.0,0.0,20000,1.7647555629572904e-31,0.00890786086864306,5.047645722513381e+28,,,,,
rate,quadratic,1.0,1.0,10,0.12670202261917893,25.73793834402006,203.1375491248401,,,,,
rate,quadratic,1.0,1.0,100,0.0013584340630282453,2.5737938344020055,1894.677043554443,,,,,
