subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
gl,32,16.0,0.5,0.01,0.018655895810809685,0.25,0.07462358324323874,0.5000000000000002,0.07462358324323867,random_features,,
gl,32,16.0,0.5,0.1,0.018666997372902436,0.25,0.07466798949160974,0.5000000000000002,0.07466798949160967,random_features,,
gl,32,16.0,0.5,1.0,0.018810222259050734,0.25,0.07524088903620293,0.5000000000000002,0.07524088903620287,random_features,,
gl,32,16.0,0.5,10.0,0.02427591291457504,0.25,0.09710365165830016,0.5000000000000002,0.09710365165830008,random_features,,
gl,32,16.0,0.5,100.0,0.0899593829501642,0.25,0.3598375318006568,0.5000000000000002,0.3598375318006565,random_features,,
gl,32,16.0,0.5,1000.0,0.11565403797605948,0.25,0.46261615190423794,0.5000000000000002,0.46261615190423755,random_features,,
gl,32,16.0,0.5,10000.0,0.005744310920022107,0.25,0.022977243680088428,0.5000000000000002,0.022977243680088407,random_features,,
so,32,16.0,1.0,0.01,0.0396803862927551,1.0,0.0396803862927551,0.7243888696718469,0.07561924796842714,random_features,,
so,32,16.0,1.0,0.1,0.03974529331847944,1.0,0.03974529331847944,0.7243888696718469,0.07574294183665034,random_features,,
so,32,16.0,1.0,1.0,0.04058251445162649,1.0,0.04058251445162649,0.7243888696718469,0.07733844123539017,random_features,,
so,32,16.0,1.0,10.0,0.07157340852076713,1.0,0.07157340852076713,0.7243888696718469,0.13639805033515048,random_features,,
so,32,16.0,1.0,100.0,0.22640600867437585,1.0,0.22640600867437585,0.7243888696718469,0.43146384677750493,random_features,,
so,32,16.0,1.0,1000.0,0.1959622659445187,1.0,0.1959622659445187,0.7243888696718469,0.373446948615493,random_features,,
so,32,16.0,1.0,10000.0,0.0002590254010217016,1.0,0.0002590254010217016,0.7243888696718469,0.0004936268988277872,random_features,,
sym,32,16.0,1.0,0.01,0.041731601745468194,1.0,0.041731601745468194,0.7452146948753079,0.07514537115598616,random_features,,
sym,32,16.0,1.0,0.1,0.041798950019520276,1.0,0.041798950019520276,0.7452146948753079,0.07526664402447625,random_features,,
sym,32,16.0,1.0,1.0,0.042652162092545735,1.0,0.042652162092545735,0.7452146948753079,0.07680300819983955,random_features,,
sym,32,16.0,1.0,10.0,0.07751102191103071,1.0,0.07751102191103071,0.7452146948753079,0.13957275222048468,random_features,,
sym,32,16.0,1.0,100.0,0.24285917020368203,1.0,0.24285917020368203,0.7452146948753079,0.4373122938079489,random_features,,
sym,32,16.0,1.0,1000.0,0.19032298587183996,1.0,0.19032298587183996,0.7452146948753079,0.34271129826470237,random_features,,
sym,32,16.0,1.0,10000.0,5.1140976593531414e-05,1.0,5.1140976593531414e-05,0.7452146948753079,9.208866917785744e-05,random_features,,
sl,32,16.0,1.0,0.01,0.07461470147103194,1.0,0.07461470147103194,0.9999986909888954,0.07461489681436109,random_features,,
sl,32,16.0,1.0,0.1,0.07471875096946028,1.0,0.07471875096946028,0.9999986909888954,0.07471894658519386,random_features,,
sl,32,16.0,1.0,1.0,0.07618854641678185,1.0,0.07618854641678185,0.9999986909888954,0.07618874588048011,random_features,,
sl,32,16.0,1.0,10.0,0.1330757264546777,1.0,0.1330757264546777,0.9999986909888954,0.13307607485056913,random_features,,
sl,32,16.0,1.0,100.0,0.49219372908824094,1.0,0.49219372908824094,0.9999986909888954,0.4921950176648851,random_features,,
sl,32,16.0,1.0,1000.0,0.32113584816905144,1.0,0.32113584816905144,0.9999986909888954,0.32113668891148495,random_features,,
sl,32,16.0,1.0,10000.0,1.8217693831833872e-06,1.0,1.8217693831833872e-06,0.9999986909888954,1.8217741526254573e-06,random_features,,
