draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
10,900010,gl,0,8.136649290380474,0.1504359463667461,0.8066909312822236,2.40317165851593,0.0,ok
10,900010,sym,0,6.80184472859261,0.14633427475016367,0.6436771701161751,1512.98974609375,8.881784197001252e-16,ok
10,900010,baseline_ppo,1,6.164576959241752,0.16614344203938236,0.5349747470422338,,0.0,ok
10,900010,so,1,8.850197854413995,0.15192793017817408,0.8946076295380792,1.0000008344650269,1.7763568394002505e-15,ok
10,900010,sl,1,8.23766355821307,0.15533959070164988,0.8125082510155004,2.1839029788970947,1.7763568394002505e-15,ok
10,900010,gl,1,8.188084633994333,0.14850618623802467,0.8163376415934726,2.0087831020355225,0.0,ok
10,900010,sym,1,6.626355750093955,0.1423438004265243,0.6280151459517268,3661.851806640625,8.881784197001252e-16,ok
10,900010,baseline_ppo,2,6.2124747926460255,0.17597091208475762,0.5261421752611796,,0.0,ok
10,900010,so,2,9.000451245477104,0.1645955685621561,0.8942117206706666,1.000000774860382,1.7763568394002505e-15,ok
10,900010,sl,2,8.36124815183797,0.15392622605530362,0.8302925101098293,2.2514965534210205,1.7763568394002505e-15,ok
10,900010,gl,2,8.390430178072963,0.16786219067317104,0.8128548681270332,2.2928154468536377,0.0,ok
10,900010,sym,2,6.954644596005226,0.15044447624350138,0.6566031644802542,633.1529541015625,0.0,ok
11,900011,baseline_ppo,0,6.516762892685725,0.2000660177146606,0.5274136769913137,,1.7763568394002505e-15,ok
11,900011,so,0,8.83463059709815,0.15906852048653627,0.8811938552837196,1.0000009536743164,0.0,ok
11,900011,sl,0,7.907047296554677,0.16147850514352097,0.7609976826766195,2.605450391769409,8.881784197001252e-16,ok
11,900011,gl,0,7.781386777797132,0.15036871793676063,0.7618697121979978,2.6934014558792114,0.0,ok
11,900011,sym,0,6.907298332326716,0.1534835634949397,0.6467813663477079,570.0377197265625,0.0,ok
11,900011,baseline_ppo,1,6.112107945769247,0.17847911795572552,0.5090906931811322,,0.0,ok
11,900011,so,1,8.6469581770235,0.15510409120982552,0.8640040834824865,1.0000009536743164,0.0,ok
11,900011,sl,1,7.967392072113202,0.15914065639288524,0.7727624600260827,2.7346044778823853,8.881784197001252e-16,ok
11,900011,gl,1,7.90513610763509,0.15675245156545312,0.7682793247100588,2.536346673965454,0.0,ok
11,900011,sym,1,6.580257741704947,0.14220867745008894,0.6227715419486941,1140.8280639648438,0.0,ok
11,900011,baseline_ppo,2,6.240798262888323,0.18803975899877132,0.5106359711336592,,0.0,ok
11,900011,so,2,8.759208554349831,0.14942071985059732,0.8862403762826696,1.0000009536743164,0.0,ok
11,900011,sl,2,7.972527340152305,0.14434721851040544,0.7951609872660601,2.436707615852356,8.881784197001252e-16,ok
11,900011,gl,2,8.071335120605417,0.1577460035418498,0.7876945402055978,2.559765100479126,0.0,ok
11,900011,sym,2,6.533265965120902,0.14930171478812093,0.6053641352851565,3691.864990234375,0.0,ok
12,900012,baseline_ppo,0,5.973114326871977,0.17972412300349191,0.489161614560398,,8.881784197001252e-16,ok
12,900012,so,0,8.707010507227322,0.15707995841046596,0.8678978979933388,1.0000009536743164,0.0,ok
12,900012,sl,0,7.924498633127095,0.15517585226579136,0.7727273031579333,2.5666725635528564,8.881784197001252e-16,ok
12,900012,gl,0,7.702760370862555,0.14159260221103223,0.7650922295171145,2.772663712501526,1.7763568394002505e-15,ok
12,900012,sym,0,7.020491779581191,0.14527439624188415,0.672724801903187,620.0104064941406,0.0,ok
12,900012,baseline_ppo,1,5.931767184673453,0.16239037092081535,0.5105289248377706,,0.0,ok
12,900012,so,1,8.630765733370321,0.14849079824520034,0.8721445571694524,1.0000008344650269,0.0,ok
12,900012,sl,1,8.051403003313329,0.151468192522628,0.7952049234120174,2.4415972232818604,0.0,ok
12,900012,gl,1,8.063562346199276,0.1550015215819504,0.7917318882054338,2.256063938140869,1.7763568394002505e-15,ok
12,900012,sym,1,6.757535567132395,0.13826551496230036,0.6507458272987202,2432.283447265625,0.0,ok
12,900012,baseline_ppo,2,5.898119745847017,0.155499728054533,0.5168363047643254,,8.881784197001252e-16,ok
12,900012,so,2,8.840363837633934,0.1453892280559819,0.902793533076439,1.0000009536743164,0.0,ok
12,900012,sl,2,8.042321428039418,0.14132117445855863,0.8090451383321857,2.2085880041122437,1.7763568394002505e-15,ok
12,900012,gl,2,8.136096925678794,0.1535824787934344,0.8021073547243451,2.3904805183410645,0.0,ok
12,900012,sym,2,6.682753524568731,0.13634409327655134,0.6440852574597269,1854.1165161132812,0.0,ok
13,900013,baseline_ppo,0,6.339217763135923,0.16584723440147223,0.5570005933156238,,8.881784197001252e-16,ok
13,900013,so,0,8.654419922851192,0.1409105778897106,0.8859867822357143,1.0000009536743164,0.0,ok
13,900013,sl,0,8.23434521918383,0.1537735246745689,0.8146638628182001,2.107352375984192,1.7763568394002505e-15,ok
13,900013,gl,0,8.183686582580494,0.154400059828665,0.806489012696718,2.386636257171631,0.0,ok
13,900013,sym,0,6.735162991434322,0.13909764328167312,0.6464699333670082,1690.4202880859375,0.0,ok
13,900013,baseline_ppo,1,6.195485559311368,0.15752050275630658,0.5516243247112881,,0.0,ok
13,900013,so,1,8.61677099243787,0.15205739421608044,0.864562263339758,1.0000008344650269,0.0,ok
13,900013,sl,1,8.290948367923379,0.15632054600233983,0.8176178513672203,2.3780544996261597,0.0,ok
13,900013,gl,1,8.117175117934577,0.14271223464741448,0.8160135457058748,2.0493175983428955,0.0,ok
13,900013,sym,1,6.8435957432583185,0.15328495913396864,0.639171113994314,2408.50830078125,0.0,ok
13,900013,baseline_ppo,2,6.387482204106218,0.16611521925022146,0.5627864296161879,,0.0,ok
13,900013,so,2,8.607961732602226,0.14342611625554894,0.876396749107074,1.000001072883606,0.0,ok
