w,c_geo,arm,seed,r_task,r_geo,auc,rho,recon_err,status
0.8,,baseline_ppo,4,0.15820488067065916,0.5533573309953324,9.320860554986492,,0.0,ok
0.8,0.0,so(32),4,0.1457786826158324,0.5226557781565935,8.795970381039725,1.0000008940696716,0.0,ok
0.8,0.05,so(32),4,0.14824928137686819,0.7742175160797935,12.796629700348737,1.0000011920928955,1.7763568394002505e-15,ok
0.8,0.25,so(32),4,0.14800729889501374,0.8287734768178936,13.660954895042954,1.000001072883606,0.0,ok
0.8,1.0,so(32),4,0.15555587474167037,0.8516319227800394,14.055919725609249,1.0000010132789612,0.0,ok
0.8,,baseline_ppo,5,0.17369828165390205,0.5712873409158549,9.67151016494893,,1.7763568394002505e-15,ok
0.8,0.0,so(32),5,0.14038735370744382,0.5236419374446074,8.79179396578552,1.0000009536743164,0.0,ok
0.8,0.05,so(32),5,0.14329941943555718,0.7834124738205225,12.921318324507192,1.0000011324882507,0.0,ok
0.8,0.25,so(32),5,0.14283947242574074,0.8424116394706381,13.86171214893588,1.0000009536743164,0.0,ok
0.8,1.0,so(32),5,0.148979961454634,0.8645186138939734,14.236453112318744,1.0000009536743164,1.7763568394002505e-15,ok
0.8,,baseline_ppo,6,0.1547462094723615,0.5927099482037747,9.930785706419842,,0.0,ok
0.8,0.0,so(32),6,0.1433341650644005,0.5234551382789232,8.795603087065418,1.0000009536743164,0.0,ok
0.8,0.05,so(32),6,0.13880320680223288,0.7847770118470615,12.920881529006785,1.000001311302185,0.0,ok
0.8,0.25,so(32),6,0.13722281409836642,0.8761691362985098,14.36555648424453,1.0000009536743164,0.0,ok
0.8,1.0,so(32),6,0.14144254983452312,0.8847221298951035,14.51774605471996,1.0000009536743164,1.7763568394002505e-15,ok
0.8,,baseline_ppo,7,0.16124827394523322,0.5593755685006268,9.426049971255967,,0.0,ok
0.8,0.0,so(32),7,0.1394328254398366,0.5279249750811761,8.845715589789206,1.0000009536743164,0.0,ok
0.8,0.05,so(32),7,0.12987705792237525,0.7862499680368695,12.904857760146426,1.0000011920928955,0.0,ok
0.8,0.25,so(32),7,0.12672715631487774,0.8452557500952078,13.835256224077549,1.0000009536743164,0.0,ok
0.8,1.0,so(32),7,0.1441122285953062,0.8618408377755278,14.164847003627523,1.0000008344650269,1.7763568394002505e-15,ok
0.8,,baseline_ppo,8,0.15882680367011243,0.5418360240135651,9.14278216714725,,0.0,ok
0.8,0.0,so(32),8,0.14831956355197234,0.523480943911546,8.823383207267565,1.0000009536743164,1.7763568394002505e-15,ok
0.8,0.05,so(32),8,0.14983145482980423,0.7762413545977636,12.834397776866178,1.0000011920928955,0.0,ok
0.8,0.25,so(32),8,0.15016059384790398,0.8521187012113319,14.036993316033024,1.0000010132789612,1.7763568394002505e-15,ok
0.8,1.0,so(32),8,0.14303418087700456,0.8875282574039886,14.574674013472416,1.0000008940696716,0.0,ok
0.8,,baseline_ppo,9,0.15197279092229773,0.5432263319778877,9.140090407558334,,0.0,ok
